time,count,weekday,hour
2023-12-22 13:30:07,27,4,13.5
2023-12-22 13:00:07,29,4,13.0
2023-12-22 12:30:07,40,4,12.5
2023-12-22 12:00:06,44,4,12.0
2023-12-22 11:30:06,32,4,11.5
2023-12-22 11:00:07,6,4,11.0
2023-12-22 10:30:07,5,4,10.5
2023-12-22 10:00:07,3,4,10.0
2023-12-22 09:30:07,2,4,9.5
2023-12-22 09:00:07,0,4,9.0
2023-12-22 08:30:06,1,4,8.5
2023-12-22 08:00:06,1,4,8.0
2023-12-22 07:30:07,2,4,7.5
2023-12-22 07:00:07,1,4,7.0
2023-12-22 06:30:07,0,4,6.5
2023-12-22 06:00:07,0,4,6.0
2023-12-22 05:30:06,0,4,5.5
2023-12-22 05:00:07,0,4,5.0
2023-12-22 04:30:06,0,4,4.5
2023-12-22 04:00:07,0,4,4.0
2023-12-22 03:30:07,0,4,3.5
2023-12-22 03:00:07,0,4,3.0
2023-12-22 02:30:07,0,4,2.5
2023-12-22 02:00:07,0,4,2.0
2023-12-22 01:30:06,0,4,1.5
2023-12-22 01:00:08,2,4,1.0
2023-12-22 00:30:07,2,4,0.5
2023-12-22 00:00:07,1,4,0.0
2023-12-21 23:30:07,1,3,23.5
2023-12-21 23:00:06,1,3,23.0
2023-12-21 22:30:07,1,3,22.5
2023-12-21 22:00:06,1,3,22.0
2023-12-21 21:30:07,1,3,21.5
2023-12-21 21:00:10,1,3,21.0
2023-12-21 20:30:07,1,3,20.5
2023-12-21 20:00:06,1,3,20.0
2023-12-21 19:30:07,1,3,19.5
2023-12-21 19:00:07,9,3,19.0
2023-12-21 18:30:06,52,3,18.5
2023-12-21 18:00:07,58,3,18.0
2023-12-21 17:30:07,44,3,17.5
2023-12-21 17:00:07,44,3,17.0
2023-12-21 16:30:07,36,3,16.5
2023-12-21 16:00:07,40,3,16.0
2023-12-21 15:30:07,32,3,15.5
2023-12-21 15:00:08,29,3,15.0
2023-12-21 14:30:06,32,3,14.5
2023-12-21 14:00:06,36,3,14.0
2023-12-21 13:30:06,38,3,13.5
2023-12-21 13:00:07,41,3,13.0
2023-12-21 12:30:07,53,3,12.5
2023-12-21 12:00:06,52,3,12.0
2023-12-21 11:30:22,38,3,11.5
2023-12-21 11:00:07,8,3,11.0
2023-12-21 10:30:07,5,3,10.5
2023-12-21 10:00:06,3,3,10.0
2023-12-21 09:30:06,2,3,9.5
2023-12-21 09:00:06,2,3,9.0
2023-12-21 08:30:07,1,3,8.5
2023-12-21 08:00:07,1,3,8.0
2023-12-21 07:30:07,2,3,7.5
2023-12-21 07:00:06,3,3,7.0
2023-12-21 06:30:07,1,3,6.5
2023-12-21 06:00:06,2,3,6.0
2023-12-21 05:30:07,1,3,5.5
2023-12-21 05:00:07,0,3,5.0
2023-12-21 04:30:06,0,3,4.5
2023-12-21 04:00:05,0,3,4.0
2023-12-21 03:30:06,0,3,3.5
2023-12-21 03:00:06,0,3,3.0
2023-12-21 02:30:07,0,3,2.5
2023-12-21 02:00:07,0,3,2.0
2023-12-21 01:30:07,0,3,1.5
2023-12-21 01:00:06,0,3,1.0
2023-12-21 00:30:06,0,3,0.5
2023-12-21 00:00:06,0,3,0.0
2023-12-20 23:30:06,0,2,23.5
2023-12-20 23:00:06,0,2,23.0
2023-12-20 22:30:06,0,2,22.5
2023-12-20 22:00:07,0,2,22.0
2023-12-20 21:30:07,0,2,21.5
2023-12-20 21:00:11,0,2,21.0
2023-12-20 20:30:07,0,2,20.5
2023-12-20 20:00:06,0,2,20.0
2023-12-20 19:30:07,0,2,19.5
2023-12-20 19:00:07,2,2,19.0
2023-12-20 18:30:07,55,2,18.5
2023-12-20 18:00:06,65,2,18.0
2023-12-20 17:30:07,59,2,17.5
2023-12-20 17:00:07,51,2,17.0
2023-12-20 16:30:07,41,2,16.5
2023-12-20 16:00:06,40,2,16.0
2023-12-20 15:30:07,43,2,15.5
2023-12-20 15:00:08,36,2,15.0
2023-12-20 14:30:06,37,2,14.5
2023-12-20 14:00:36,28,2,14.0
2023-12-20 13:30:07,32,2,13.5
2023-12-20 13:00:07,35,2,13.0
2023-12-20 12:30:06,38,2,12.5
2023-12-20 12:00:07,49,2,12.0
2023-12-20 11:30:07,34,2,11.5
2023-12-20 11:00:06,5,2,11.0
2023-12-20 10:30:06,3,2,10.5
2023-12-20 10:00:07,1,2,10.0
2023-12-20 09:30:07,2,2,9.5
2023-12-20 09:00:07,0,2,9.0
2023-12-20 08:30:07,2,2,8.5
2023-12-20 08:00:06,2,2,8.0
2023-12-20 07:30:07,1,2,7.5
2023-12-20 07:00:07,1,2,7.0
2023-12-20 06:30:07,3,2,6.5
2023-12-20 06:00:06,1,2,6.0
2023-12-20 05:30:07,1,2,5.5
2023-12-20 05:00:07,0,2,5.0
2023-12-20 04:30:07,0,2,4.5
2023-12-20 04:00:07,0,2,4.0
2023-12-20 03:30:06,0,2,3.5
2023-12-20 03:00:07,0,2,3.0
2023-12-20 02:30:07,0,2,2.5
2023-12-20 02:00:07,0,2,2.0
2023-12-20 01:30:07,0,2,1.5
2023-12-20 01:00:07,0,2,1.0
2023-12-20 00:30:07,0,2,0.5
2023-12-20 00:00:07,0,2,0.0
2023-12-19 23:30:07,0,1,23.5
2023-12-19 23:00:07,0,1,23.0
2023-12-19 22:30:06,0,1,22.5
2023-12-19 22:00:07,0,1,22.0
